NL 174:558:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lange, Eduard~P:Lange, Eduard (Vetter Machs):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.04.1904::::Liberec~50.764444°, 15.046944°:3 S. hs.:::::C012::0
NL 174:1996:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lowie, Robert Harry~ 118780638:Lowie, Robert H. (Dr.):118780638::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.12.1911::::New York City~40.712778°, -74.005833°:1 S. ms.::Thiele 1968b, S. 85:::::2027
NL 174:1997:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lowie, Robert Harry~ 118780638:Lowie, Robert H. (Dr.):118780638::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.06.1912::::Lawton~34.609444°, -98.417778°:4 S. hs.::Blackmore/Hentschel 1985, S. 103f.; Thiele 1968b, S. 85f.:::::2027
NL 174:1998:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lowie, Robert Harry~ 118780638:Lowie, Robert H. (Dr.):118780638::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::03.02.1913:American Ethnological Society <New York>~928-3:American Ethnological Society <New York> s. Lowie, Robert H.::New York City~40.712778°, -74.005833°:3 S. hs.::Thiele 1968b, S. 86:::::2027
NL 174:1999:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lowie, Robert Harry~ 118780638:Lowie, Robert H. (Dr.):118780638::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.06.1913::::New York City~40.712778°, -74.005833°:1 S. ms.::Thiele 1968b, S. 86f.:::::2027
NL 174:2000:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lowie, Robert Harry~ 118780638:Lowie, Robert H. (Dr.):118780638::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::05.12.1913::::New York City~40.712778°, -74.005833°:1 S. ms.::Thiele 1969b, S. 535f. Anm. 2:::::2027
NL 174:2001:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ludwig, Carl~ 118729470:Ludwig, Carl (Prof.):118729470::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::09.12.1860::::Wien~48.20833°, 16.373064°:1 S. hs.:::::::1965
NL 174:2002:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ludwig, Carl~ 118729470:Ludwig, Carl (Prof.):118729470::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.05.1864::::Wien~48.20833°, 16.373064°:2 S. hs.:::::::1965
NL 174:2003:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ludwig, Carl~ 118729470:Ludwig, Carl (Prof.):118729470::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.12.1865::::Leipzig~51.340333°, 12.37475°:3 S. hs.::Thiele 1978, S. 36; Thiele 1970a, S. 70f.:::::1965
NL 174:2004:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ludwig, Carl~ 118729470:Ludwig, Carl (Prof.):118729470::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.12.1865::::o.O.:2 S. hs.:::::::1965
NL 174:2005:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ludwig, Ernst~117308560:Ludwig, Ernst (Prof.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::18.02.1908::::Wien~48.20833°, 16.373064°:1 S. hs.:::::::1985
NL 174:2006:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ludwig, Ernst~117308560:Ludwig, Ernst (Prof.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.05.1915::::Wien~48.20833°, 16.373064°:2 S. hs.:::::::1985
NL 174:2007:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lukinaz, Alexander~P:Lukinaz, Alexander:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::28.05.1905::::Brno~49.195278°, 16.608333°:4 S. hs.:::::::2027
NL 174:2008:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lukinaz, Alexander~P:Lukinaz, Alexander:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.06.1905::::Brno~49.195278°, 16.608333°:2 S. hs.:::::::2027
NL 174:2009:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lux, Friedrich~117331864:Lux, Friedrich:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.02.1897::::Ludwigshafen am Rhein~49.483056°, 8.447778°:4 S. hs.:::::::2000
NL 174:2010:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lux, Friedrich~117331864:Lux, Friedrich:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::05.04.1897::::Ludwigshafen am Rhein~49.483056°, 8.447778°:1 S. hs.:::::::2000
NL 174:2011:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Lux, Friedrich~117331864:Lux, Friedrich:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::23.07.1906:Friedrich Lux GmbH <Ludwigshafen am Rhein>~K:Friedrich Lux GmbH <Ludwigshafen am Rhein> s. Lux, Friedrich::Ludwigshafen am Rhein~49.483056°, 8.447778°:1 S. ms.:::::::2000
NL 174:2012:5. Korrespondenz:5.2. Allgemeine Korrespondenz:MacGregor, James Gordon~11662891X:MacGregor, James Gordon:11662891X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::05.04.1901::::Halifax~44.64787°, -63.57156°:3 S. hs.:eng::::::1983
NL 174:2013:5. Korrespondenz:5.2. Allgemeine Korrespondenz:MacGregor, James Gordon~11662891X:MacGregor, James Gordon:11662891X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.05.1901::::Edinburgh~55.95°, -3.216667°:2 S. hs.:eng::::::1983
NL 174:2014:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Baucomité des Künstlerhauses Rudolphinum <Prag>~16311056-6:Baucomité des Künstlerhauses Rudolphinum:::Brief:::17.07.1885::::Prag~50.083333°, 14.416667°:4 S. hs.::::"Entnommen aus: NL 174/4123":::1986
NL 174:2015:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::[Jirns?]~P:[Jirns?] (Prof.):::Visitenkarte::o.D.:::::Prag~50.083333°, 14.416667°:1 S. gedr.:::Umschlag::::1986
NL 174:2016:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::22.12.1900::::Wien~48.20833°, 16.373064°:1 S. ms.:::::::1986
NL 174:2017:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::25.12.1900::::Wien~48.20833°, 16.373064°:1 S. ms.:::::::1986
NL 174:2018:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::23.01.1901::::Wien~48.20833°, 16.373064°:1 S. ms.:::::::1986
NL 174:2019:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::12.02.1901::::Wien~48.20833°, 16.373064°:1 S. ms.:::::::1986
NL 174:2020:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::12.04.1901::::Wien~48.20833°, 16.373064°:1 S. ms.:::::::1986
NL 174:2021:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::19.04.1901::::Wien~48.20833°, 16.373064°:1 S. ms.:::::::1986
NL 174:2022:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::30.07.1901::::Seebenstein~47.701944°, 16.144722°:1 S. ms.:::::::1986
NL 174:2023:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::22.07.1902::::Seebenstein~47.701944°, 16.144722°:1 S. ms.:::::::1986
NL 174:2024:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::01.08.1902::::Seebenstein~47.701944°, 16.144722°:1 S. ms. u. hs.:::::::1986
NL 174:2025:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::18.01.1872::::Prag~50.083333°, 14.416667°:8 S. hs.::::"Entnommen aus: NL 174/4123":::1986
NL 174:2026:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::22.01.1872::::o.O.:3 S. hs.::::"Entnommen aus: NL 174/4123":::1986
NL 174:2027:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::28.09.1877::::Prag~50.083333°, 14.416667°:1 S. hs.:::::::1986
NL 174:2028:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::11.10.1877::::Prag~50.083333°, 14.416667°:2 S. hs.:::::::1986
NL 174:2029:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::06.06.1880::::Prag~50.083333°, 14.416667°:1 S. hs.:::::::1986
NL 174:2030:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::08.05.1883::::Prag~50.083333°, 14.416667°:2 S. hs.:::::::1986
NL 174:2031:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::13.05.1883::::Prag~50.083333°, 14.416667°:1 S. hs.:::::::1986
NL 174:2032:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::26.06.1883::::Prag~50.083333°, 14.416667°:2 S. hs.:::::::1986
NL 174:2033:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::02.08.1883::::Prag~50.083333°, 14.416667°:4 S. hs.:::::::1986
NL 174:2034:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::10.10.1884::::Prag~50.083333°, 14.416667°:4 S. hs.:::::::1986
NL 174:2035:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::26.11.1884::::Prag~50.083333°, 14.416667°:2 S. hs.:::Notizen von Mach (2 S. hs.)::::1986
NL 174:2036:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::21.03.1889:::Rohling, August~118749471:Prag~50.083333°, 14.416667°:2 S. hs.::::"Vgl. NL 174/0010 (zu: Rohling, August)":::1986
NL 174:2037:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::14.10.1891::::Prag~50.083333°, 14.416667°:3 S. hs.::::"Entnommen aus: NL 174/4123":::1986
NL 174:2038:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::17.10.1893::::Prag~50.083333°, 14.416667°:3 S. hs.::::Hs. Bemerkungen von [Kracken?], 20.10.1893:::1986
NL 174:2039:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::20.11.1893::::Prag~50.083333°, 14.416667°:2 S. hs.:::::::1986
NL 174:2040:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::26.01.1895::::Prag~50.083333°, 14.416667°:8 S. hs.::::"Entnommen aus: NL 174/0452":::1986
NL 174:2041:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::25.06.1898::::Wien~48.20833°, 16.373064°:1 S. hs.:::::::1986
NL 174:2042:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief:::16.01.1912::::Wien~48.20833°, 16.373064°:2 S. ms.:::::::1986
NL 174:2043:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Briefentwurf::o.D.:::::o.O.:2 S. ms.:::::::1986
NL 174:2044:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief::o.D.:::::o.O.:1 S. hs.:::::::1986
NL 174:2045:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief::o.D.:::::o.O.:2 S. hs.:::::::1986
NL 174:2046:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Brief::o.D.:::::o.O.:4 S. hs.::::"Entnommen aus: NL 174/4123":::1986
NL 174:2047:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Briefentwurf::o.D.:::::o.O.:4 S. hs.:fre::::::1986
NL 174:2048:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Briefentwurf::o.D.:::::o.O.:2 S. ms.:::::::1986
NL 174:2049:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Rezek, Anton~117526886:Rezek, Anton (Prof.):117526886::Visitenkarte::o.D.:::::Prag~50.083333°, 14.416667°:1 S. gedr.:::Umschlag::::1986
NL 174:2050:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::Safarik, Adalbert~116743476:Safarik, Adalbert (Prof.):116743476::Visitenkarte::o.D.:::::Prag~50.083333°, 14.416667°:1 S. gedr.:::Umschlag::::1986
NL 174:2051:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::::::Karte:::11899::::Wien~48.20833°, 16.373064°:1 S. gedr.::::Dankeskarte für die Anteilnahme während der Krankheit:::1986
NL 174:2052:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::::::Visitenkarte::o.D.:::::Wien~48.20833°, 16.373064°:2 S. gedr. u. hs.:::::::1986
NL 174:2053:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ernst~118575767:Mach, Ernst:118575767::::::Visitenkarte::o.D.:::::Wien~48.20833°, 16.373064°:1 S. gedr. u. hs.:::::::1986
NL 174:2054:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.03.1894::::Prag~50.083333°, 14.416667°:3 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2055:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::19.03.1894::::Prag~50.083333°, 14.416667°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2056:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.07.1896::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2057:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::29.07.1896::::Jena~50.927206°, 11.586361°:3 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2058:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.08.1896::::Jena~50.927206°, 11.586361°:3 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2059:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::18.08.1896::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2060:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::21.08.1896::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2061:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.09.1896::::Jena~50.927206°, 11.586361°:3 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2062:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.09.1896::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2063:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.11.1896::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2064:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.03.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2065:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.03.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2066:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.03.1897::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2067:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::05.04.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2068:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.04.1897::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2069:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::26.04.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2070:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::09.05.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2071:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::21.05.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2072:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::26.05.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2073:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::23.09.1897::::Jena~50.927206°, 11.586361°:3 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2074:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::27.09.1897::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2075:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::29.09.1897::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2076:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.10.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2077:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::09.11.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2078:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::25.11.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2079:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::27.11.1897:::Süß, Christian~P:Jena~50.927206°, 11.586361°:1 S. hs.:::Zeitungsausschnitt zum Tode von Christian Süß (1 S. gedr.):Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2080:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::03.12.1897::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2081:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.12.1897::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2082:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::09.12.1897::::Jena~50.927206°, 11.586361°:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2083:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::19.02.1899::::Jena~50.927206°, 11.586361°:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2084:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Felix~137896085:Mach, Felix:137896085::Mach, Ernst~118575767:"Mach, Ernst (""Tate"")":118575767::Brief:::23.04.1911::::München~48.136944°, 11.575278°:2 S. hs.::::"Spitzname von Ernst Mach war ""Tate""":::2003
NL 174:2085:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Felix~137896085:Mach, Felix:137896085::Mach, Ernst~118575767:"Mach, Ernst (""Tate"")":118575767::Brief:::14.02.1913::::München~48.136944°, 11.575278°:1 S. hs.::::"Spitzname von Ernst Mach war ""Tate""":::2003
NL 174:2086:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2087:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:3 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2088:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:3 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2089:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:2 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
NL 174:2090:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Felix~137896085:Mach, Felix:137896085::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::11.11.1912::::München~48.136944°, 11.575278°:1 S. hs.:::::::2003
NL 174:2091:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Mach, Ludwig~118821830:Mach, Ludwig:118821830::N.N.:N.N.:::Brief?::o.D.:::::o.O.:1 S. hs.::::Brief wurde ursprünglich Felix Mach zugeschrieben:::2021
